date,demand_mgd,temperature_c,humidity_pct,rainfall_mm,day_of_week,month,is_public_holiday,is_festival,population_thousands,season,reservoir_storage_pct,groundwater_level_m
2023-02-07,135.71,30.74,34.9,0.57,1,2,0,0,821.59,winter,67.84,28.16
2023-02-08,134.546,30.76,31.28,0.78,2,2,0,0,822.84,winter,67.34,27.84
2023-02-09,132.461,32.98,46.09,2.51,3,2,0,0,822.44,winter,67.85,28.19
2023-02-10,132.818,33.11,46.32,1.34,4,2,0,0,822.79,winter,69.06,27.77
2023-02-11,138.304,32.81,44.48,2.74,5,2,0,0,822.18,winter,67.09,27.5
2023-02-12,140.701,31.0,38.96,0.93,6,2,0,0,823.47,winter,67.51,28.5
2023-02-13,136.616,32.35,44.43,0.01,0,2,0,0,823.28,winter,73.61,27.98
2023-02-14,136.743,32.18,37.74,0.07,1,2,0,0,822.86,winter,76.87,27.84
2023-02-15,136.231,32.33,38.69,0.54,2,2,0,0,823.4,winter,65.38,27.74
2023-02-16,139.299,33.31,32.21,0.42,3,2,0,0,823.27,winter,65.45,28.35
2023-02-17,137.63,32.34,39.66,0.15,4,2,0,0,822.14,winter,66.6,28.74
2023-02-18,142.486,33.02,37.98,0.16,5,2,0,0,821.29,winter,69.4,28.03
2023-02-19,143.218,32.1,31.17,0.81,6,2,0,0,823.11,winter,72.63,28.11
2023-02-20,136.961,32.43,37.42,0.27,0,2,0,0,823.29,winter,71.94,28.63
2023-02-21,136.904,32.95,37.28,0.83,1,2,0,0,823.89,winter,70.9,27.48
2023-02-22,133.482,29.81,46.67,0.75,2,2,0,0,821.92,winter,72.19,28.99
2023-02-23,135.195,31.52,42.15,0.31,3,2,0,0,822.0,winter,68.74,29.19
2023-02-24,134.662,31.29,37.74,0.47,4,2,0,0,823.42,winter,70.29,27.13
2023-02-25,140.17,31.04,38.92,0.23,5,2,0,0,822.95,winter,71.17,28.18
2023-02-26,139.537,31.59,37.9,0.57,6,2,0,0,821.19,winter,66.68,27.94
2023-02-27,138.443,34.24,36.66,1.57,0,2,0,0,823.5,winter,68.14,28.12
2023-02-28,138.004,30.7,32.27,0.9,1,2,0,0,821.33,winter,68.45,28.06
2023-03-01,140.277,36.38,34.24,0.6,2,3,0,0,822.29,summer,74.29,28.56
2023-03-02,137.115,32.4,31.27,0.83,3,3,0,0,824.64,summer,72.91,28.19
2023-03-03,138.191,34.43,28.75,0.33,4,3,0,0,825.17,summer,74.18,27.88
2023-03-04,142.722,35.17,37.56,0.32,5,3,0,0,822.19,summer,67.0,28.18
2023-03-05,146.85,35.81,36.96,0.09,6,3,0,0,823.13,summer,68.23,28.46
2023-03-06,139.792,36.0,26.07,0.29,0,3,0,0,823.55,summer,74.83,27.78
2023-03-07,138.184,36.12,34.39,0.47,1,3,0,0,825.35,summer,64.66,27.6
2023-03-08,142.488,34.41,39.98,0.26,2,3,0,0,823.13,summer,76.81,29.06
2023-03-09,139.157,34.23,40.3,0.04,3,3,0,0,823.2,summer,67.81,28.01
2023-03-10,135.898,36.22,40.13,0.03,4,3,0,0,825.28,summer,75.95,28.22
2023-03-11,140.536,34.64,35.19,0.21,5,3,0,0,823.41,summer,70.89,28.12
2023-03-12,138.149,33.01,30.77,0.14,6,3,0,0,824.56,summer,76.82,28.5
2023-03-13,138.161,33.23,29.58,0.37,0,3,0,0,822.42,summer,83.42,28.99
2023-03-14,139.317,33.55,36.72,0.55,1,3,0,0,823.78,summer,67.09,28.52
2023-03-15,137.262,35.67,36.9,0.53,2,3,0,0,822.35,summer,76.11,27.68
2023-03-16,137.192,35.14,41.44,0.13,3,3,0,0,823.0,summer,68.7,27.74
2023-03-17,139.474,35.96,40.5,0.9,4,3,0,0,824.95,summer,75.5,28.14
2023-03-18,139.468,34.29,34.34,1.43,5,3,0,0,824.12,summer,73.69,28.2
2023-03-19,140.864,35.17,28.78,0.57,6,3,0,0,823.91,summer,74.79,27.62
2023-03-20,139.447,35.87,33.4,0.48,0,3,0,0,823.53,summer,71.75,28.64
2023-03-21,137.314,34.46,36.09,0.13,1,3,0,0,824.11,summer,76.9,27.88
2023-03-22,138.19,35.61,33.99,0.02,2,3,0,0,824.69,summer,70.28,28.92
2023-03-23,136.009,33.94,32.11,0.81,3,3,0,0,825.43,summer,78.41,29.05
2023-03-24,137.399,34.38,36.26,1.55,4,3,0,0,821.87,summer,73.52,28.23
2023-03-25,146.699,34.36,32.48,1.81,5,3,1,0,823.72,summer,70.59,28.51
2023-03-26,145.56,33.13,31.86,0.03,6,3,0,0,824.77,summer,79.63,27.84
2023-03-27,141.436,35.66,36.56,0.67,0,3,0,0,824.57,summer,74.68,28.59
2023-03-28,139.52,34.22,32.99,0.38,1,3,0,0,825.12,summer,80.64,28.14
2023-03-29,136.378,34.95,36.22,0.01,2,3,0,0,825.04,summer,78.61,27.91
2023-03-30,138.819,35.65,36.37,0.3,3,3,0,0,824.52,summer,72.57,28.24
2023-03-31,138.633,35.6,29.3,0.17,4,3,0,0,824.36,summer,74.73,28.17
2023-04-01,142.857,37.0,35.27,0.45,5,4,0,0,824.69,summer,75.36,28.23
2023-04-02,145.305,35.85,44.87,0.67,6,4,0,0,826.14,summer,79.58,28.74
2023-04-03,139.929,35.37,31.87,0.44,0,4,0,0,824.32,summer,76.31,28.05
2023-04-04,141.962,35.88,27.1,0.57,1,4,0,0,825.04,summer,75.52,29.07
2023-04-05,141.829,33.47,28.37,0.54,2,4,0,0,825.34,summer,74.38,27.85
2023-04-06,140.562,33.83,37.83,0.0,3,4,0,0,826.77,summer,74.81,29.03
2023-04-07,136.619,34.02,37.83,2.03,4,4,0,0,824.97,summer,78.85,27.98
2023-04-08,137.85,34.5,37.09,0.94,5,4,0,0,826.28,summer,74.91,28.39
2023-04-09,144.229,36.6,43.75,0.02,6,4,0,0,826.61,summer,73.68,28.2
2023-04-10,141.257,34.64,24.32,0.15,0,4,0,0,825.37,summer,73.13,28.26
2023-04-11,138.351,35.43,39.66,0.16,1,4,0,0,825.28,summer,73.11,28.72
2023-04-12,141.179,37.95,45.49,0.07,2,4,0,0,825.21,summer,70.51,29.0
2023-04-13,138.609,35.47,32.04,0.05,3,4,0,0,825.34,summer,72.41,28.88
2023-04-14,138.484,37.11,35.78,0.42,4,4,0,0,826.51,summer,79.09,28.25
2023-04-15,143.337,34.6,33.92,0.07,5,4,0,0,825.94,summer,73.9,28.49
2023-04-16,142.502,35.69,33.21,0.84,6,4,0,0,826.0,summer,76.56,28.11
2023-04-17,139.759,34.57,36.05,0.42,0,4,0,0,824.69,summer,66.92,28.03
2023-04-18,140.385,35.49,44.82,0.15,1,4,0,0,824.9,summer,75.97,27.97
2023-04-19,139.754,37.26,46.87,0.78,2,4,0,0,828.07,summer,73.69,28.26
2023-04-20,140.425,33.41,36.0,0.68,3,4,0,0,825.8,summer,72.63,28.54
2023-04-21,140.654,36.65,47.2,1.72,4,4,0,0,825.26,summer,74.51,27.68
2023-04-22,143.761,36.36,37.86,0.1,5,4,0,0,827.52,summer,72.37,28.43
2023-04-23,140.342,35.11,46.45,0.09,6,4,0,0,826.43,summer,67.37,29.05
2023-04-24,136.969,33.83,37.21,0.1,0,4,0,0,826.78,summer,76.38,28.9
2023-04-25,139.528,36.11,38.33,0.27,1,4,0,0,826.12,summer,74.21,28.22
2023-04-26,136.113,35.21,39.51,1.1,2,4,0,0,825.99,summer,72.41,27.9
2023-04-27,136.548,36.35,53.57,1.91,3,4,0,0,826.2,summer,70.31,28.65
2023-04-28,138.495,36.03,41.94,0.54,4,4,0,0,825.04,summer,68.66,27.54
2023-04-29,146.077,38.4,34.14,1.0,5,4,0,0,826.39,summer,73.59,28.92
2023-04-30,143.475,35.64,42.52,2.5,6,4,0,0,826.83,summer,77.6,28.39
2023-05-01,138.549,33.39,43.19,0.02,0,5,0,0,828.43,summer,73.21,29.21
2023-05-02,138.111,35.2,42.55,1.44,1,5,0,0,826.73,summer,68.29,27.79
2023-05-03,138.431,35.26,49.54,0.23,2,5,0,0,824.36,summer,72.94,28.86
2023-05-04,138.673,36.97,45.16,0.01,3,5,0,0,826.65,summer,71.93,28.45
2023-05-05,140.293,36.18,46.39,0.3,4,5,0,0,829.54,summer,74.5,28.36
2023-05-06,141.185,35.46,45.07,1.72,5,5,0,0,827.73,summer,73.54,27.95
2023-05-07,144.205,37.12,46.68,0.31,6,5,0,0,826.1,summer,62.57,28.74
2023-05-08,140.128,33.15,47.12,0.43,0,5,0,0,827.56,summer,72.97,28.78
2023-05-09,138.459,33.97,35.32,0.16,1,5,0,0,826.28,summer,68.12,29.23
2023-05-10,139.097,33.54,48.33,0.0,2,5,0,0,825.72,summer,66.66,28.92
2023-05-11,138.444,34.34,40.09,1.43,3,5,0,0,826.78,summer,70.15,28.28
2023-05-12,139.002,32.86,37.79,0.51,4,5,0,0,827.28,summer,71.73,28.12
2023-05-13,143.096,35.88,44.71,0.04,5,5,0,0,825.37,summer,65.36,27.98
2023-05-14,144.114,34.59,45.42,0.6,6,5,0,0,826.15,summer,72.17,29.12
2023-05-15,138.512,32.72,41.53,0.16,0,5,0,0,827.36,summer,72.11,28.22
2023-05-16,144.386,33.4,49.16,0.03,1,5,0,1,827.0,summer,69.73,29.13
2023-05-17,142.964,35.4,38.29,0.28,2,5,0,0,827.86,summer,66.75,28.75
2023-05-18,141.336,36.19,42.97,1.06,3,5,0,0,826.3,summer,66.17,28.68
2023-05-19,138.541,37.92,42.08,1.25,4,5,0,0,828.29,summer,71.94,28.43
2023-05-20,144.126,39.3,44.77,0.74,5,5,0,0,826.44,summer,64.08,28.82
2023-05-21,140.347,35.55,46.39,0.63,6,5,0,0,829.32,summer,71.55,28.55
2023-05-22,137.756,33.44,39.96,0.15,0,5,0,0,826.02,summer,67.61,28.42
2023-05-23,138.358,31.73,48.62,0.09,1,5,0,0,826.7,summer,67.55,28.85
2023-05-24,138.234,35.33,45.32,1.01,2,5,0,0,828.26,summer,62.45,28.51
2023-05-25,138.551,33.71,35.54,0.27,3,5,0,0,829.57,summer,66.87,28.26
2023-05-26,133.455,34.31,35.21,1.58,4,5,0,0,828.27,summer,68.87,28.82
2023-05-27,139.655,34.01,44.94,0.48,5,5,0,0,828.57,summer,62.75,28.56
2023-05-28,143.092,34.72,43.9,0.77,6,5,0,0,828.08,summer,67.97,28.78
2023-05-29,141.234,36.53,44.48,0.62,0,5,0,0,827.09,summer,66.46,28.41
2023-05-30,141.007,35.16,44.86,0.39,1,5,0,0,827.69,summer,63.97,28.11
2023-05-31,138.833,34.69,46.13,0.01,2,5,0,0,827.02,summer,68.18,29.29
2023-06-01,135.668,30.45,59.74,2.43,3,6,0,0,827.01,monsoon,58.71,29.22
2023-06-02,132.346,29.49,49.44,3.74,4,6,0,0,828.74,monsoon,66.06,28.96
2023-06-03,134.917,31.27,49.14,14.49,5,6,0,0,827.27,monsoon,69.58,28.46
2023-06-04,136.614,31.92,49.53,4.69,6,6,0,0,828.77,monsoon,68.74,28.5
2023-06-05,133.192,34.65,56.44,4.31,0,6,0,0,827.2,monsoon,65.29,29.17
2023-06-06,130.357,32.2,61.22,12.26,1,6,0,0,828.86,monsoon,62.91,28.48
2023-06-07,136.401,33.47,52.84,3.83,2,6,0,0,828.13,monsoon,61.59,28.37
2023-06-08,136.159,31.25,42.49,0.94,3,6,0,0,830.08,monsoon,62.28,29.38
2023-06-09,134.007,30.22,46.48,10.23,4,6,0,0,829.05,monsoon,64.5,28.62
2023-06-10,138.359,30.55,50.83,0.28,5,6,0,0,830.01,monsoon,60.13,29.35
2023-06-11,135.606,30.91,52.21,8.79,6,6,0,0,828.08,monsoon,64.51,28.08
2023-06-12,145.659,35.19,52.96,3.44,0,6,0,1,828.95,monsoon,68.31,28.86
2023-06-13,135.107,30.77,55.19,2.46,1,6,0,0,827.96,monsoon,61.4,29.48
2023-06-14,135.114,33.26,53.44,2.39,2,6,0,0,828.59,monsoon,57.23,28.67
2023-06-15,134.521,30.65,60.25,2.94,3,6,0,0,828.79,monsoon,56.9,28.55
2023-06-16,136.167,33.4,51.62,2.06,4,6,0,0,828.38,monsoon,62.93,28.2
2023-06-17,138.254,32.58,50.69,5.39,5,6,0,0,827.95,monsoon,60.09,29.1
2023-06-18,137.119,31.77,57.39,2.15,6,6,0,0,827.8,monsoon,62.57,28.36
2023-06-19,134.944,31.94,47.32,3.46,0,6,0,0,826.93,monsoon,58.01,28.64
2023-06-20,134.079,31.02,56.95,0.09,1,6,0,0,828.27,monsoon,61.76,28.19
2023-06-21,133.907,32.67,55.51,3.44,2,6,0,0,830.01,monsoon,58.46,29.31
2023-06-22,136.573,31.32,54.26,2.01,3,6,0,0,827.84,monsoon,56.4,29.15
2023-06-23,131.621,30.16,62.94,8.23,4,6,0,0,828.12,monsoon,57.05,28.68
2023-06-24,138.219,30.08,51.89,2.58,5,6,0,0,831.34,monsoon,54.32,28.23
2023-06-25,139.065,32.26,65.3,7.19,6,6,0,0,828.97,monsoon,63.54,29.31
2023-06-26,138.449,34.37,53.87,6.46,0,6,0,0,829.98,monsoon,56.94,28.56
2023-06-27,135.852,32.24,48.61,6.63,1,6,0,0,830.35,monsoon,58.82,28.27
2023-06-28,136.945,31.82,55.35,2.69,2,6,0,0,830.43,monsoon,54.94,28.01
2023-06-29,136.094,32.43,49.62,3.68,3,6,0,0,828.3,monsoon,53.05,28.46
2023-06-30,136.828,33.96,51.24,5.25,4,6,0,0,829.65,monsoon,55.16,28.14
2023-07-01,135.209,28.33,66.99,3.8,5,7,0,0,828.31,monsoon,58.82,28.47
2023-07-02,133.038,27.38,67.78,2.59,6,7,0,0,832.43,monsoon,53.61,29.03
2023-07-03,134.628,29.66,61.89,1.08,0,7,0,0,828.45,monsoon,52.22,28.58
2023-07-04,133.895,28.64,69.94,3.51,1,7,0,0,829.05,monsoon,54.95,28.88
2023-07-05,134.917,30.3,70.79,0.35,2,7,0,0,829.11,monsoon,55.64,28.45
2023-07-06,132.679,28.27,72.18,0.75,3,7,0,0,828.71,monsoon,58.72,28.77
2023-07-07,133.623,26.16,67.65,6.56,4,7,0,0,831.61,monsoon,54.51,29.52
2023-07-08,134.81,25.95,71.82,4.4,5,7,0,0,832.74,monsoon,55.04,28.61
2023-07-09,138.564,30.48,55.6,6.62,6,7,0,0,829.89,monsoon,54.92,28.91
2023-07-10,137.158,30.59,63.41,1.48,0,7,0,0,829.1,monsoon,48.97,28.13
2023-07-11,135.994,27.73,60.66,8.99,1,7,0,0,828.24,monsoon,49.19,29.37
2023-07-12,133.864,27.43,65.6,0.43,2,7,0,0,830.29,monsoon,48.49,28.58
2023-07-13,141.554,30.19,62.14,0.79,3,7,0,1,830.27,monsoon,47.41,29.19
2023-07-14,131.507,26.34,64.17,8.85,4,7,0,0,829.99,monsoon,53.45,28.73
2023-07-15,137.629,26.66,74.41,4.09,5,7,0,0,830.92,monsoon,51.6,29.02
2023-07-16,138.748,28.96,64.15,6.66,6,7,0,0,831.15,monsoon,50.63,29.05
2023-07-17,135.319,27.41,67.07,4.42,0,7,0,0,831.13,monsoon,42.28,28.61
2023-07-18,139.029,27.99,63.84,1.77,1,7,0,0,830.55,monsoon,55.89,29.23
2023-07-19,136.085,27.75,65.38,0.65,2,7,0,0,829.82,monsoon,46.71,28.49
2023-07-20,132.65,28.51,65.03,0.14,3,7,0,0,831.64,monsoon,55.22,29.11
2023-07-21,130.498,30.11,67.24,15.51,4,7,0,0,831.04,monsoon,44.39,28.65
2023-07-22,134.962,28.14,70.83,0.25,5,7,0,0,831.97,monsoon,45.97,28.95
2023-07-23,135.096,28.97,73.24,11.92,6,7,0,0,831.93,monsoon,41.48,28.63
2023-07-24,131.686,24.92,66.55,3.86,0,7,0,0,829.77,monsoon,48.85,28.84
2023-07-25,131.146,27.93,67.95,4.56,1,7,0,0,829.81,monsoon,44.14,28.39
2023-07-26,129.82,26.74,59.25,4.26,2,7,0,0,830.55,monsoon,43.91,28.92
2023-07-27,133.382,26.17,64.56,5.91,3,7,0,0,830.3,monsoon,42.7,28.85
2023-07-28,133.324,26.68,69.7,1.29,4,7,0,0,832.17,monsoon,48.83,28.62
2023-07-29,136.973,27.5,69.33,0.04,5,7,0,0,831.82,monsoon,48.32,28.81
2023-07-30,140.24,29.37,66.06,1.72,6,7,0,0,832.62,monsoon,51.32,28.89
2023-07-31,134.999,26.01,69.43,5.44,0,7,0,0,831.97,monsoon,43.52,28.6
2023-08-01,132.859,24.05,74.77,0.81,1,8,0,0,831.84,monsoon,45.93,28.8
2023-08-02,130.562,23.27,78.32,9.18,2,8,0,0,832.89,monsoon,41.11,28.45
2023-08-03,135.817,23.51,73.77,3.0,3,8,1,0,832.21,monsoon,43.67,29.79
2023-08-04,134.703,25.5,70.54,0.69,4,8,0,0,831.87,monsoon,42.83,29.28
2023-08-05,142.282,24.81,74.0,4.04,5,8,1,0,833.33,monsoon,45.49,28.97
2023-08-06,139.707,26.01,57.67,5.35,6,8,0,0,832.02,monsoon,46.86,29.34
2023-08-07,132.415,23.77,74.23,5.73,0,8,0,0,831.66,monsoon,46.5,28.08
2023-08-08,132.633,22.96,54.08,10.06,1,8,0,0,831.18,monsoon,40.72,27.85
2023-08-09,131.074,23.66,63.7,1.64,2,8,0,0,832.77,monsoon,45.96,28.72
2023-08-10,131.54,24.36,74.58,2.41,3,8,0,0,833.36,monsoon,42.56,28.33
2023-08-11,132.114,24.26,74.71,0.78,4,8,0,0,832.13,monsoon,41.45,28.79
2023-08-12,134.56,22.37,66.51,0.11,5,8,0,0,833.54,monsoon,40.03,28.97
2023-08-13,134.817,24.14,68.76,3.27,6,8,0,0,830.32,monsoon,40.22,29.26
2023-08-14,131.39,24.34,79.17,1.72,0,8,0,0,832.29,monsoon,46.87,28.44
2023-08-15,130.504,27.78,69.9,7.8,1,8,0,0,832.36,monsoon,42.31,29.06
2023-08-16,129.288,26.82,83.54,0.2,2,8,0,0,831.73,monsoon,41.66,28.91
2023-08-17,129.234,22.72,72.31,1.14,3,8,0,0,834.89,monsoon,40.1,29.05
2023-08-18,130.695,23.57,74.36,0.48,4,8,0,0,832.5,monsoon,47.98,28.71
2023-08-19,135.319,21.8,80.4,3.34,5,8,0,0,832.21,monsoon,44.32,29.47
2023-08-20,137.215,23.11,72.98,1.51,6,8,0,0,832.7,monsoon,38.01,28.88
2023-08-21,129.83,24.47,67.31,0.56,0,8,0,0,830.73,monsoon,39.13,29.64
2023-08-22,137.515,25.81,71.77,2.24,1,8,1,0,832.02,monsoon,39.08,28.62
2023-08-23,132.285,22.91,72.14,1.35,2,8,0,0,833.82,monsoon,39.94,29.23
2023-08-24,132.547,23.02,65.5,1.13,3,8,0,0,832.27,monsoon,37.18,28.92
2023-08-25,130.091,20.78,71.04,3.68,4,8,0,0,832.12,monsoon,40.39,28.81
2023-08-26,133.894,23.76,68.61,4.33,5,8,0,0,834.31,monsoon,43.23,29.2
2023-08-27,133.85,22.41,76.94,8.07,6,8,0,0,834.4,monsoon,34.73,28.83
2023-08-28,131.72,23.21,72.49,2.51,0,8,0,0,833.63,monsoon,35.09,27.89
2023-08-29,132.627,22.68,70.91,4.12,1,8,0,0,832.71,monsoon,36.83,27.73
2023-08-30,131.636,23.86,71.79,2.55,2,8,0,0,832.98,monsoon,36.78,29.47
2023-08-31,132.125,21.36,73.44,1.39,3,8,0,0,832.47,monsoon,43.91,29.46
2023-09-01,130.359,18.87,78.08,4.43,4,9,0,0,832.34,monsoon,40.74,29.73
2023-09-02,136.015,24.27,70.0,2.1,5,9,0,0,832.34,monsoon,40.4,28.97
2023-09-03,132.146,19.14,69.79,2.66,6,9,0,0,832.83,monsoon,36.61,28.46
2023-09-04,130.909,19.43,80.52,3.87,0,9,0,0,832.46,monsoon,36.38,28.82
2023-09-05,130.777,23.83,72.94,0.49,1,9,0,0,831.99,monsoon,32.73,28.99
2023-09-06,133.359,25.43,67.92,0.12,2,9,0,0,833.83,monsoon,39.28,28.59
2023-09-07,125.997,19.31,77.22,13.26,3,9,0,0,833.9,monsoon,38.26,29.66
2023-09-08,125.571,20.52,77.32,4.14,4,9,0,0,835.42,monsoon,40.51,29.9
2023-09-09,143.299,21.58,67.35,3.58,5,9,0,1,833.1,monsoon,35.88,29.2
2023-09-10,137.755,23.66,76.15,1.29,6,9,0,0,834.12,monsoon,35.96,29.0
2023-09-11,132.994,19.59,78.68,4.26,0,9,0,0,834.19,monsoon,36.77,28.49
2023-09-12,130.864,20.7,76.87,1.25,1,9,0,0,833.68,monsoon,38.82,29.63
2023-09-13,129.048,22.24,78.16,5.13,2,9,0,0,834.74,monsoon,31.62,29.05
2023-09-14,129.311,21.72,67.98,4.4,3,9,0,0,834.82,monsoon,38.13,28.91
2023-09-15,131.908,20.51,76.66,3.8,4,9,1,0,834.43,monsoon,35.76,29.22
2023-09-16,133.742,20.87,73.49,4.73,5,9,0,0,833.9,monsoon,32.55,28.8
2023-09-17,132.814,19.01,72.59,1.84,6,9,0,0,833.85,monsoon,29.39,29.09
2023-09-18,129.642,20.71,79.35,2.04,0,9,0,0,832.9,monsoon,35.15,28.46
2023-09-19,129.718,20.67,82.4,5.35,1,9,0,0,833.52,monsoon,39.82,29.48
2023-09-20,129.285,21.42,83.97,3.13,2,9,0,0,833.75,monsoon,40.43,29.01
2023-09-21,124.608,20.24,81.57,10.05,3,9,0,0,833.31,monsoon,36.41,29.52
2023-09-22,128.321,21.78,74.45,6.54,4,9,0,0,834.93,monsoon,41.17,28.98
2023-09-23,133.077,22.59,76.76,4.09,5,9,0,0,835.74,monsoon,35.1,29.01
2023-09-24,133.687,21.3,78.83,1.54,6,9,0,0,833.69,monsoon,38.04,28.58
2023-09-25,131.707,21.6,75.61,5.56,0,9,0,0,834.93,monsoon,33.78,29.37
2023-09-26,130.247,21.15,75.65,1.28,1,9,0,0,833.67,monsoon,33.55,28.72
2023-09-27,127.52,21.07,79.12,3.21,2,9,0,0,834.46,monsoon,33.03,28.88
2023-09-28,132.099,19.99,74.7,0.37,3,9,0,0,834.12,monsoon,28.86,29.08
2023-09-29,130.754,21.55,71.35,1.97,4,9,0,0,835.47,monsoon,38.88,29.13
2023-09-30,133.866,20.93,72.93,1.93,5,9,0,0,834.25,monsoon,33.08,28.41
2023-10-01,135.595,23.14,75.49,0.25,6,10,0,0,835.99,autumn,32.6,29.0
2023-10-02,134.631,22.36,72.34,1.01,0,10,0,0,834.79,autumn,31.46,29.41
2023-10-03,130.84,20.58,74.02,0.16,1,10,0,0,834.44,autumn,34.39,28.95
2023-10-04,126.905,18.86,75.67,0.37,2,10,0,0,833.89,autumn,40.31,29.01
2023-10-05,127.039,18.33,70.45,0.41,3,10,0,0,835.45,autumn,41.31,29.17
2023-10-06,131.511,21.79,76.1,1.07,4,10,0,0,836.15,autumn,30.07,29.06
2023-10-07,140.971,20.39,74.21,0.29,5,10,1,0,835.58,autumn,34.02,28.7
2023-10-08,137.972,20.72,66.15,0.48,6,10,0,0,837.6,autumn,32.01,29.11
2023-10-09,133.654,17.38,79.53,0.24,0,10,0,0,836.85,autumn,38.12,29.52
2023-10-10,132.998,21.39,69.82,0.26,1,10,0,0,835.17,autumn,36.06,28.71
2023-10-11,138.526,20.68,64.05,2.7,2,10,0,1,835.21,autumn,33.34,28.98
2023-10-12,132.267,18.33,67.1,0.39,3,10,0,0,836.05,autumn,35.53,28.58
2023-10-13,130.913,19.29,67.22,2.2,4,10,0,0,834.8,autumn,33.94,29.52
2023-10-14,132.806,20.4,72.58,0.33,5,10,0,0,836.86,autumn,40.29,29.11
2023-10-15,134.919,20.08,70.95,0.03,6,10,0,0,836.11,autumn,37.16,28.81
2023-10-16,132.098,19.56,70.64,0.06,0,10,0,0,836.06,autumn,37.61,29.19
2023-10-17,128.016,19.84,75.42,0.02,1,10,0,0,836.54,autumn,27.68,28.67
2023-10-18,128.664,19.62,74.02,0.6,2,10,0,0,837.64,autumn,35.58,28.75
2023-10-19,128.685,20.23,73.9,0.47,3,10,0,0,836.14,autumn,42.12,28.58
2023-10-20,131.695,22.21,74.37,0.14,4,10,0,0,835.91,autumn,39.96,28.74
2023-10-21,130.076,16.15,75.4,0.73,5,10,0,0,837.59,autumn,30.55,29.71
2023-10-22,133.544,19.64,61.78,0.96,6,10,0,0,837.1,autumn,35.26,28.88
