temperature_c,rainfall_deficit_pct,precip_mm,storage_pct,day_of_week,month,is_weekend,is_heatwave,demand_mgd
35.81,37.64,1.98,93.06,5,7,1,0,55.647
22.62,-15.91,0.87,23.26,4,2,0,0,72.33
40.3,50.36,1.4,46.63,3,7,0,1,94.917
39.36,-50.7,4.05,62.77,1,10,0,1,89.483
25.17,20.13,6.2,85.93,3,12,0,0,45.522
21.8,56.92,0.47,23.56,1,2,0,0,54.875
35.2,-3.05,0.0,38.39,2,9,0,0,69.9
16.75,16.91,3.76,77.82,6,4,1,0,44.81
18.8,-24.95,7.49,44.85,3,9,0,0,49.075
12.25,25.19,1.73,61.42,0,7,0,0,37.889
38.76,47.24,0.6,57.6,4,11,0,1,83.046
34.6,18.43,2.88,92.72,1,1,0,0,61.926
35.98,51.03,2.2,22.03,0,7,0,0,75.637
38.54,2.41,0.0,90.62,4,9,0,1,84.875
27.6,0.8,0.66,57.95,4,5,0,0,68.55
31.34,-37.35,2.25,86.85,1,4,0,0,75.346
16.75,19.35,3.1,20.03,5,4,1,0,49.114
15.89,43.47,3.8,64.53,1,9,0,0,40.977
34.73,10.48,0.71,81.41,3,3,0,0,69.055
28.02,-47.37,3.34,76.88,3,12,0,0,64.858
31.22,-3.82,3.25,10.84,0,3,0,0,75.68
38.01,25.83,0.0,48.44,4,5,0,1,90.864
33.58,51.51,0.0,19.8,3,12,0,0,72.249
30.82,-58.08,0.91,22.99,3,1,0,0,71.896
31.01,-62.15,2.33,70.03,5,5,1,0,68.722
22.33,-22.19,0.53,91.31,5,11,1,0,43.297
13.05,-62.41,0.98,63.9,3,4,0,0,64.351
26.85,57.26,1.18,18.7,5,4,1,0,63.591
19.3,-20.6,0.0,30.74,0,1,0,0,57.658
25.89,-5.29,2.2,42.2,4,2,0,0,63.687
41.02,-48.21,1.15,20.66,1,3,0,1,109.262
19.95,-17.12,0.04,82.08,4,11,0,0,52.356
13.98,57.86,0.7,26.53,4,7,0,0,51.856
21.57,-11.58,14.73,21.01,5,3,1,0,52.528
21.98,-78.76,6.51,71.68,3,10,0,0,57.885
34.51,-46.05,6.79,20.78,0,8,0,0,72.913
30.94,56.98,1.87,44.88,6,4,1,0,57.569
38.65,58.47,0.71,53.82,3,4,0,1,93.035
34.59,-50.53,0.52,16.82,0,3,0,0,91.6
25.82,6.14,0.0,57.24,0,9,0,0,53.618
39.68,-69.23,4.07,50.81,0,9,0,1,97.99
17.68,0.84,0.0,66.82,1,8,0,0,43.168
12.77,-62.37,1.02,28.63,1,6,0,0,59.269
15.06,34.61,5.42,40.31,6,7,1,0,40.906
36.56,51.54,1.15,66.07,5,11,1,0,58.843
27.7,-55.78,0.0,13.03,0,7,0,0,76.956
17.48,-15.22,4.81,19.84,2,8,0,0,48.558
29.04,-65.71,0.0,34.1,2,3,0,0,85.76
17.18,-32.52,2.14,19.04,3,6,0,0,64.349
35.67,-70.89,0.05,13.36,1,1,0,0,90.599
27.17,-42.96,0.87,93.93,1,6,0,0,66.062
24.95,58.63,0.44,48.74,3,10,0,0,49.505
22.25,-73.76,1.09,55.36,3,9,0,0,62.78
33.43,40.26,0.0,31.67,5,11,1,0,62.052
24.3,-69.16,0.6,10.65,6,5,1,0,67.977
14.98,-5.94,1.43,73.81,2,10,0,0,39.205
16.01,-16.7,0.67,71.52,5,9,1,0,40.608
44.7,50.42,0.0,92.67,5,9,1,1,76.221
42.89,-52.13,4.76,11.79,2,10,0,1,98.666
35.79,-54.84,5.96,21.65,3,6,0,0,80.234
21.04,24.82,6.32,70.53,4,5,0,0,55.849
44.95,21.6,0.15,38.06,6,8,1,1,82.577
38.48,17.89,1.06,15.42,5,5,1,1,84.138
36.37,-76.34,5.68,35.58,5,9,1,0,68.029
27.28,-43.61,12.62,17.46,5,11,1,0,53.753
21.26,37.59,0.0,81.2,1,1,0,0,46.045
15.28,4.12,2.02,84.54,1,8,0,0,35.277
42.69,4.31,0.0,64.14,6,6,1,1,87.085
27.5,-38.57,2.14,42.78,3,2,0,0,71.42
18.88,-43.58,0.74,75.35,1,3,0,0,58.781
22.4,52.52,6.17,63.69,2,10,0,0,44.101
31.69,21.89,0.0,77.32,3,5,0,0,74.328
18.01,-62.24,0.5,53.43,3,2,0,0,68.73
41.12,51.28,1.6,91.46,1,9,0,1,80.298
37.79,1.53,0.61,34.65,1,3,0,0,83.173
36.46,-33.33,1.17,61.36,2,5,0,0,81.908
26.69,-24.4,0.01,78.68,1,3,0,0,61.559
33.33,21.56,3.73,85.98,6,9,1,0,41.41
31.86,-27.32,4.02,90.47,0,12,0,0,60.179
34.09,1.02,0.0,43.58,5,12,1,0,54.037
14.87,19.47,2.32,69.44,2,1,0,0,44.76
26.14,-52.65,1.28,34.67,3,12,0,0,66.308
13.41,52.19,0.93,65.2,2,8,0,0,41.853
28.8,-30.14,2.62,25.66,6,10,1,0,56.329
23.22,-21.29,5.51,45.82,6,1,1,0,51.105
16.91,17.79,1.8,88.22,2,11,0,0,36.1
15.52,5.23,0.0,78.93,0,4,0,0,53.622
31.98,-18.38,0.0,52.2,1,5,0,0,72.36
17.8,10.96,1.89,22.48,5,11,1,0,41.912
43.45,46.4,1.42,43.88,5,9,1,1,84.74
31.76,32.04,0.41,21.79,0,7,0,0,73.595
23.79,35.4,0.19,15.82,0,9,0,0,57.196
32.09,-43.82,0.81,87.05,3,5,0,0,77.309
12.78,-21.28,0.0,51.77,5,12,1,0,32.504
44.59,-2.47,0.68,17.6,5,1,1,1,85.713
28.4,-73.81,0.14,70.92,0,7,0,0,76.45
38.61,27.77,0.01,16.31,6,1,1,1,87.527
14.81,-34.72,0.47,43.67,1,6,0,0,53.242
28.55,-40.44,0.0,29.57,1,7,0,0,73.007
28.68,-43.7,7.71,23.99,2,11,0,0,66.339
43.89,-40.33,0.16,55.35,5,12,1,1,88.129
31.44,-32.68,1.53,71.17,2,9,0,0,62.771
28.1,4.68,8.35,51.41,4,12,0,0,56.916
21.08,1.7,0.77,79.77,1,2,0,0,53.987
23.27,-44.2,9.44,87.98,0,7,0,0,56.933
29.7,-51.1,8.19,78.61,0,8,0,0,60.878
26.92,35.69,3.39,91.3,3,1,0,0,54.442
12.73,-67.02,0.0,88.97,0,8,0,0,49.359
40.09,-8.2,0.39,80.76,3,1,0,1,86.975
42.47,-7.12,3.59,34.87,5,8,1,1,81.327
16.77,0.38,0.43,24.82,3,3,0,0,57.577
30.84,43.99,0.0,71.8,3,12,0,0,57.469
15.69,7.35,0.0,81.87,1,4,0,0,50.66
34.86,56.31,0.92,79.97,1,8,0,0,62.213
21.56,41.99,1.19,64.71,0,8,0,0,47.991
34.42,-49.94,0.55,80.54,0,11,0,0,64.774
36.72,-46.23,2.84,70.11,3,5,0,0,85.201
38.13,-31.73,5.23,66.56,1,5,0,1,96.685
15.66,-25.19,0.16,13.96,4,9,0,0,49.414
43.14,-2.58,1.51,49.14,2,1,0,1,95.932
19.83,-47.45,0.0,12.88,2,7,0,0,62.917
13.27,-48.87,7.67,17.85,3,5,0,0,58.315
30.86,-26.61,3.63,55.99,2,12,0,0,63.273
24.61,14.08,4.27,14.04,0,7,0,0,60.984
40.21,16.34,5.22,87.62,0,10,0,1,80.526
39.48,56.66,0.55,48.28,6,10,1,1,72.919
22.78,-51.66,1.36,69.5,0,2,0,0,65.922
44.4,-25.0,6.41,22.56,1,8,0,1,99.101
21.89,55.05,3.93,82.05,2,9,0,0,44.571
29.51,16.6,4.58,50.64,3,6,0,0,62.849
20.7,2.92,0.07,57.5,5,3,1,0,50.937
43.83,-4.45,0.0,65.12,4,6,0,1,99.962
17.6,-69.43,0.0,55.89,4,1,0,0,65.805
13.53,45.07,0.0,57.87,2,12,0,0,37.773
26.79,7.57,2.73,73.28,6,2,1,0,46.336
45.74,0.03,5.22,78.55,0,2,0,1,98.102
42.32,-4.47,0.79,36.02,2,2,0,1,97.191
37.45,-25.13,0.95,88.37,2,3,0,0,71.02
42.29,-44.35,0.0,40.08,2,3,0,1,105.063
42.38,25.75,3.39,33.15,3,8,0,1,88.888
29.64,-8.66,5.15,36.47,0,2,0,0,68.035
22.74,-75.25,3.37,40.47,5,9,1,0,58.336
38.25,-24.13,1.68,36.94,1,5,0,1,95.597
34.5,50.0,0.2,81.72,2,5,0,0,74.346
24.7,-27.65,2.51,57.7,4,7,0,0,62.395
15.21,-22.15,0.27,92.25,6,1,1,0,33.046
37.39,7.35,0.17,17.14,3,7,0,0,76.23
20.92,32.23,0.86,62.19,3,7,0,0,54.108
43.85,13.58,1.34,18.16,1,9,0,1,92.845
20.19,39.01,0.84,49.0,5,2,1,0,49.195
16.17,-64.04,0.45,42.53,3,1,0,0,59.296
40.26,49.44,3.23,67.87,0,1,0,1,89.752
17.21,46.55,0.61,73.36,2,12,0,0,42.781
18.1,-7.32,5.07,30.24,6,5,1,0,55.955
32.38,7.46,0.21,26.47,6,3,1,0,61.816
41.74,-50.21,2.34,45.66,1,2,0,1,112.302
18.68,-17.29,0.0,30.57,5,4,1,0,51.98
22.55,-51.62,2.4,67.51,2,6,0,0,69.274
38.43,-76.92,1.66,54.0,5,12,1,1,92.396
45.04,57.33,2.02,80.29,3,10,0,1,82.543
29.03,-43.72,0.0,93.41,2,11,0,0,63.162
16.89,3.04,0.33,42.14,6,1,1,0,39.501
12.47,-37.96,2.61,87.52,1,7,0,0,46.518
19.81,-28.11,1.1,76.06,2,6,0,0,57.982
16.48,-24.31,1.93,22.68,6,3,1,0,50.526
35.04,-33.09,1.04,81.05,1,6,0,0,73.974
16.14,9.24,3.53,50.93,1,8,0,0,45.0
29.22,54.53,1.12,70.28,6,1,1,0,48.556
35.6,-19.99,0.3,69.72,3,12,0,0,66.639
31.76,56.27,0.09,85.31,5,9,1,0,52.196
18.79,13.49,11.17,74.7,0,12,0,0,42.476
39.34,5.0,1.1,80.09,4,2,0,1,84.243
36.32,-46.81,2.8,37.28,0,1,0,0,78.575
37.13,-71.19,6.39,92.72,2,12,0,0,67.43
16.46,39.27,1.65,66.24,1,12,0,0,46.381
16.21,0.36,0.64,75.76,2,8,0,0,44.799
43.54,-21.98,6.77,83.0,2,3,0,1,92.454
25.52,33.68,1.45,20.52,6,4,1,0,61.062
22.23,-36.52,2.6,38.59,4,10,0,0,62.832
28.61,29.71,1.14,81.05,0,12,0,0,52.227
34.54,-34.09,2.96,88.37,3,9,0,0,62.855
44.49,48.92,0.72,74.27,5,5,1,1,84.156
21.74,-42.48,2.7,51.0,3,10,0,0,58.478
43.44,-60.74,4.7,31.35,4,4,0,1,110.64
12.85,17.73,1.64,54.63,3,2,0,0,45.443
30.88,-57.2,6.76,43.77,6,5,1,0,69.655
33.56,52.91,0.07,85.28,4,6,0,0,65.934
15.6,11.78,6.88,58.22,3,8,0,0,39.285
16.77,-47.68,2.58,43.33,6,9,1,0,43.832
26.25,-50.77,0.0,52.37,1,9,0,0,62.292
44.85,49.34,1.54,89.35,5,3,1,1,85.807
32.27,5.1,0.0,62.13,5,8,1,0,54.249
43.72,45.12,0.0,29.46,2,1,0,1,97.438
39.35,-64.57,0.0,52.51,6,12,1,1,90.397
27.89,49.55,3.36,49.58,2,6,0,0,65.54
38.68,-7.19,3.65,36.38,6,12,1,1,72.508
12.61,13.58,0.84,72.59,0,11,0,0,42.232
15.71,-27.8,0.98,32.8,2,3,0,0,60.382
40.2,-71.72,3.32,51.87,2,2,0,1,103.429
39.09,54.12,0.09,47.49,2,11,0,1,81.518
19.91,59.24,0.0,49.68,3,6,0,0,62.7
30.05,-28.96,0.21,58.18,5,2,1,0,71.32
32.6,52.14,4.4,68.08,3,8,0,0,66.276
41.5,-56.52,0.78,22.15,4,12,0,1,102.601
32.51,-58.34,3.63,34.51,0,8,0,0,77.447
26.03,-69.76,7.41,75.69,0,4,0,0,77.701
24.72,-25.22,0.0,87.16,2,5,0,0,63.337
26.48,-72.68,1.8,13.8,0,4,0,0,86.221
34.17,-24.75,3.18,16.24,0,7,0,0,78.373
41.49,-60.63,0.0,89.38,0,6,0,1,108.646
27.43,22.27,2.21,22.57,1,5,0,0,73.813
20.43,36.67,0.44,93.24,1,3,0,0,53.216
20.05,16.29,2.09,80.4,1,1,0,0,53.535
37.36,-51.93,0.15,20.26,2,10,0,0,80.193
39.76,27.36,5.42,18.71,1,10,0,1,83.156
15.58,-45.07,6.7,93.07,6,2,1,0,40.162
14.26,26.33,0.0,31.66,4,3,0,0,54.671
32.21,-0.56,5.07,55.79,4,6,0,0,64.549
16.97,-28.66,1.26,30.08,4,8,0,0,52.113
40.04,-68.31,0.0,61.06,0,11,0,1,92.799
22.55,35.85,0.15,81.4,3,9,0,0,44.655
16.89,51.55,5.46,65.84,4,8,0,0,42.674
43.31,13.23,2.09,13.96,6,9,1,1,86.026
17.63,55.04,0.0,60.59,3,8,0,0,49.326
21.68,50.78,1.52,66.19,1,12,0,0,50.93
17.22,-52.75,3.0,27.08,5,12,1,0,44.609
15.93,22.37,1.17,74.78,1,6,0,0,45.344
12.72,-31.1,0.34,63.29,6,1,1,0,38.713
13.88,-11.75,5.78,10.81,2,12,0,0,50.086
17.94,-58.02,9.44,90.8,0,4,0,0,56.803
13.81,56.47,1.22,47.87,2,4,0,0,47.966
32.1,21.66,1.48,29.75,6,2,1,0,67.062
35.14,-42.63,0.11,17.33,3,10,0,0,73.997
25.38,-27.99,3.16,41.83,0,3,0,0,66.662
22.81,-20.85,1.79,36.16,2,12,0,0,58.792
29.15,24.65,0.0,35.33,5,3,1,0,62.424
41.75,49.6,1.56,77.42,0,1,0,1,87.866
40.94,-35.0,0.5,64.9,6,8,1,1,83.214
13.48,-13.85,0.35,21.31,5,3,1,0,45.579
18.17,3.05,1.5,70.19,5,4,1,0,44.112
20.05,-24.93,0.02,71.5,5,2,1,0,49.941
20.48,-9.41,4.65,53.71,1,8,0,0,43.126
31.42,-65.2,0.16,94.64,5,3,1,0,72.78
26.15,-56.53,3.2,34.1,1,9,0,0,61.207
13.67,-23.85,0.0,14.97,1,4,0,0,57.617
24.7,48.09,2.98,12.45,0,5,0,0,71.274
29.81,-31.09,0.88,37.25,1,6,0,0,76.145
15.46,-45.03,0.04,52.32,0,7,0,0,57.459
40.34,24.0,7.77,16.65,6,10,1,1,69.552
13.77,52.88,0.72,58.09,0,2,0,0,47.127
43.44,-15.72,0.51,86.57,4,3,0,1,97.026
15.37,-78.8,2.6,77.73,0,10,0,0,52.241
40.68,16.34,1.96,67.16,6,11,1,1,77.004
42.69,-21.89,1.77,66.25,3,6,0,1,103.892
45.31,14.31,4.69,72.08,3,1,0,1,93.24
39.27,-41.12,2.26,52.01,0,11,0,1,89.769
38.5,-79.66,0.81,44.15,6,8,1,1,94.659
33.84,-31.77,1.53,36.07,2,7,0,0,73.983
38.49,18.67,0.0,18.47,0,5,0,1,90.441
16.57,-24.96,2.47,57.78,4,9,0,0,42.465
30.23,-49.32,1.19,50.16,6,4,1,0,62.274
29.48,-15.04,0.69,20.11,0,5,0,0,75.387
41.16,25.33,2.93,32.8,1,10,0,1,85.61
27.74,-63.28,7.41,76.91,4,5,0,0,66.482
25.09,16.85,2.45,31.73,0,12,0,0,55.568
33.75,13.43,0.37,46.19,5,6,1,0,59.596
21.06,-28.1,0.77,23.71,4,7,0,0,61.999
16.75,55.85,4.44,24.44,3,8,0,0,44.561
28.25,45.26,0.47,74.29,2,9,0,0,57.747
26.17,-35.74,2.0,15.67,3,7,0,0,70.497
19.91,-75.65,0.92,34.23,0,5,0,0,79.826
24.5,-36.84,0.0,93.37,5,10,1,0,44.241
24.46,-51.34,0.95,50.45,4,9,0,0,68.857
23.13,-3.38,0.27,61.53,3,1,0,0,56.089
24.9,48.62,1.02,64.47,5,8,1,0,43.747
35.32,41.85,3.3,26.67,3,11,0,0,74.51
22.09,-37.18,1.41,41.39,2,7,0,0,56.907
44.26,-20.0,0.47,44.06,5,12,1,1,86.285
43.16,-74.88,0.0,29.61,6,5,1,1,100.323
28.35,-3.82,2.98,29.89,5,3,1,0,55.479
23.16,-71.13,4.18,61.67,3,6,0,0,62.53
30.2,51.4,0.0,19.22,2,2,0,0,73.803
40.85,41.37,2.37,20.98,0,1,0,1,90.507
34.19,-50.01,0.46,58.73,2,7,0,0,76.6
39.35,17.91,0.0,48.19,5,1,1,1,84.423
30.11,-0.48,0.0,62.01,5,1,1,0,56.856
33.52,32.19,4.42,12.29,0,6,0,0,76.567
21.8,-13.41,0.0,69.92,3,3,0,0,64.571
36.99,-53.15,0.34,82.24,4,3,0,0,88.792
18.88,9.58,7.2,54.55,4,7,0,0,43.602
35.62,-68.76,0.0,81.47,6,4,1,0,78.013
41.26,1.84,0.0,43.97,0,8,0,1,89.906
16.49,-50.22,0.09,16.71,3,6,0,0,64.882
32.89,15.89,7.55,42.09,0,3,0,0,66.576
15.23,35.93,2.45,47.94,5,9,1,0,31.62
36.67,-64.67,1.41,83.57,3,12,0,0,75.057
14.87,-23.96,4.88,38.45,3,9,0,0,49.9
43.82,22.69,0.15,36.78,5,3,1,1,89.496
16.67,-57.08,2.27,85.48,5,7,1,0,38.405
44.6,-0.69,0.93,31.33,2,2,0,1,100.526
39.23,14.06,0.14,64.61,5,1,1,1,75.364
32.19,-30.33,1.49,37.76,6,2,1,0,66.573
38.61,36.48,3.2,90.87,0,10,0,1,79.451
39.03,-8.51,1.21,26.12,5,12,1,1,81.404
44.16,7.78,0.58,71.53,0,8,0,1,89.105
20.62,-60.28,0.0,56.76,5,11,1,0,50.149
32.06,-76.76,1.73,93.19,4,5,0,0,82.863
15.23,-72.9,0.39,94.49,5,1,1,0,43.489
32.95,46.55,0.6,77.46,4,11,0,0,61.804
17.82,43.57,0.61,18.79,1,9,0,0,45.898
31.21,33.06,1.1,49.87,4,8,0,0,64.627
31.46,-52.05,0.92,82.63,2,1,0,0,66.591
27.84,-6.44,4.31,64.27,0,12,0,0,59.432
29.77,31.46,1.41,84.71,0,1,0,0,60.569
37.97,14.45,2.45,77.95,6,1,1,0,60.178
39.17,-63.83,1.64,36.6,2,1,0,1,104.716
28.73,45.38,0.0,26.58,1,12,0,0,60.626
32.39,-57.5,0.28,37.42,0,10,0,0,74.471
43.66,-55.95,0.0,69.16,0,2,0,1,107.554
16.07,46.14,1.52,50.89,5,6,1,0,41.684
15.98,-12.15,6.56,13.73,0,7,0,0,55.202
14.98,-27.8,0.0,73.11,5,7,1,0,42.615
34.37,-2.49,0.84,13.8,3,3,0,0,77.594
26.23,57.4,1.44,44.79,1,1,0,0,64.436
38.33,-63.25,0.49,49.29,6,1,1,1,91.975
34.82,25.97,1.89,52.76,3,11,0,0,61.183
23.34,-33.19,0.62,21.82,2,8,0,0,60.532
42.54,-63.61,0.87,73.56,4,12,0,1,97.766
37.93,-20.93,3.16,82.2,4,11,0,0,68.417
21.2,-3.17,1.18,69.32,5,3,1,0,42.193
24.38,-51.17,2.59,90.84,4,2,0,0,61.763
22.69,-23.26,1.41,31.89,6,8,1,0,47.733
17.36,8.99,0.12,23.66,2,3,0,0,54.052
17.02,0.7,0.54,15.72,1,9,0,0,45.331
43.83,21.24,1.7,71.33,0,12,0,1,89.947
26.89,37.1,0.85,23.78,1,12,0,0,59.435
25.03,-22.72,0.0,89.75,5,4,1,0,54.895
36.81,-20.78,1.8,60.86,5,6,1,0,64.466
30.8,-10.46,2.3,78.35,2,9,0,0,57.157
43.83,-0.71,0.08,46.95,0,3,0,1,96.834
38.53,-64.83,5.31,72.46,5,7,1,1,91.135
28.3,-36.23,1.16,47.71,5,5,1,0,71.574
24.8,-55.94,0.0,55.79,0,7,0,0,67.974
45.55,-25.98,0.07,75.75,0,8,0,1,92.935
36.4,56.27,1.31,30.24,2,11,0,0,71.452
44.34,1.58,0.0,85.18,3,6,0,1,96.065
16.03,-19.89,0.95,70.89,0,4,0,0,62.581
40.92,-0.77,4.69,73.46,4,1,0,1,93.051
33.66,13.67,6.93,30.24,3,9,0,0,55.987
16.15,-19.11,3.99,17.66,5,10,1,0,43.498
32.0,-17.32,0.9,16.19,6,5,1,0,68.865
35.33,18.2,3.73,65.0,0,11,0,0,64.937
12.42,-71.48,2.43,22.75,3,6,0,0,64.967
27.45,-4.39,2.99,94.93,5,6,1,0,52.772
40.06,-3.37,2.07,91.69,0,1,0,1,89.34
22.04,25.95,0.08,12.48,5,7,1,0,50.112
27.59,57.57,2.47,71.63,2,8,0,0,52.128
27.04,31.41,2.08,32.17,5,6,1,0,60.989
22.27,-9.47,2.84,38.98,4,7,0,0,54.679
43.23,-56.28,0.0,30.43,6,7,1,1,103.046
38.56,2.36,0.87,80.6,1,9,0,1,76.955
15.76,36.8,0.0,85.97,6,2,1,0,36.489
45.9,50.54,0.0,13.43,3,7,0,1,100.963
41.89,35.54,0.0,32.95,5,6,1,1,84.391
21.65,-53.54,4.58,48.14,5,5,1,0,54.616
40.45,19.76,1.76,54.35,4,6,0,1,95.351
15.62,43.22,1.74,17.45,3,9,0,0,40.608
45.97,15.34,12.8,80.55,5,12,1,1,83.322
34.63,16.01,0.04,89.39,3,3,0,0,70.376
34.1,-9.98,1.11,44.24,6,1,1,0,58.704
15.07,9.18,1.47,82.86,4,5,0,0,49.527
42.5,-38.79,3.03,67.49,4,4,0,1,94.613
12.99,-67.57,0.7,60.3,4,1,0,0,54.806
20.19,35.88,1.5,79.62,1,6,0,0,51.58
16.86,52.04,0.58,50.21,5,7,1,0,37.097
38.41,39.96,4.95,56.56,1,11,0,1,77.845
18.74,-33.25,1.72,33.35,4,9,0,0,58.676
42.96,-66.91,5.65,70.54,5,6,1,1,95.564
34.31,-40.78,1.95,23.52,3,8,0,0,77.582
13.23,38.0,3.44,30.67,6,4,1,0,40.024
12.18,11.81,2.56,50.79,1,2,0,0,41.676
13.76,55.34,0.01,42.75,1,7,0,0,46.311
32.6,-32.02,0.22,30.36,2,6,0,0,71.03
39.25,-2.79,0.45,26.31,6,4,1,1,85.626
20.11,30.61,1.81,83.18,3,11,0,0,39.344
40.88,-47.24,4.25,60.22,1,7,0,1,89.828
13.95,54.97,2.03,42.08,6,7,1,0,38.848
39.23,2.94,1.04,81.89,2,9,0,1,79.504
43.55,-78.89,0.03,80.14,1,4,0,1,109.061
38.25,-76.48,1.09,19.43,6,7,1,1,97.875
35.74,43.51,6.35,58.22,1,11,0,0,56.557
40.49,10.34,2.08,35.98,6,8,1,1,74.706
13.37,26.83,0.39,55.97,0,11,0,0,44.419
18.86,29.76,2.77,71.03,3,1,0,0,55.342
16.25,-21.14,0.0,10.72,4,9,0,0,54.596
29.15,31.81,2.38,53.65,6,8,1,0,51.189
37.34,51.25,0.04,34.8,6,11,1,0,58.582
33.42,-55.9,0.0,55.39,5,12,1,0,65.159
40.94,26.98,1.37,19.34,6,2,1,1,88.634
17.28,-36.91,2.89,79.49,6,6,1,0,49.675
36.98,-34.99,2.96,56.21,3,12,0,0,75.215
18.56,-22.21,4.04,27.94,6,10,1,0,43.738
21.21,40.92,1.18,75.42,5,2,1,0,42.856
36.14,-76.91,0.77,13.21,2,7,0,0,91.768
45.33,-19.25,2.26,60.39,6,5,1,1,91.048
32.79,15.21,4.25,52.65,0,9,0,0,61.906
13.85,-64.54,0.0,13.37,0,7,0,0,65.515
32.95,30.92,3.31,31.22,1,4,0,0,73.03
13.44,51.87,5.45,16.56,3,6,0,0,46.616
42.06,-67.27,3.63,72.25,0,12,0,1,99.569
36.13,-58.59,0.61,69.99,1,5,0,0,84.523
17.89,56.37,3.18,17.59,1,3,0,0,58.739
15.12,-52.3,0.67,19.28,1,2,0,0,65.621
18.24,-68.95,0.41,84.82,0,2,0,0,67.769
45.32,53.31,7.35,27.07,1,1,0,1,97.349
27.59,44.97,1.65,35.81,1,1,0,0,64.625
38.66,11.8,3.82,68.16,5,7,1,1,74.676
33.64,-2.8,1.21,15.16,4,7,0,0,71.993
31.46,48.69,1.0,90.55,2,10,0,0,56.619
16.93,11.77,2.26,11.96,0,8,0,0,50.237
44.16,12.18,3.38,82.18,3,3,0,1,96.105
22.25,38.12,2.23,40.68,2,8,0,0,50.264
31.65,11.45,1.24,22.75,4,6,0,0,78.561
35.79,-9.49,0.77,42.09,1,3,0,0,79.611
34.07,-25.44,0.58,92.69,6,8,1,0,56.631
43.98,-9.56,0.0,54.96,0,8,0,1,92.758
17.05,-6.85,2.38,15.04,5,6,1,0,54.947
29.28,-29.48,1.86,90.03,4,2,0,0,62.544
25.74,-17.26,0.25,22.2,4,1,0,0,64.051
28.12,32.26,1.26,14.65,6,10,1,0,53.52
16.05,-21.69,2.82,13.86,3,2,0,0,59.32
16.56,-76.42,0.78,80.24,5,4,1,0,54.996
21.45,-40.38,6.62,23.01,3,9,0,0,54.987
22.36,-47.56,0.0,25.21,4,6,0,0,69.718
26.55,31.1,0.35,90.25,3,10,0,0,50.234
32.77,-17.1,3.29,61.99,6,5,1,0,68.585
33.58,-40.76,3.2,34.26,2,11,0,0,73.219
26.0,33.5,1.96,59.85,5,5,1,0,58.212
25.9,-77.31,1.56,30.66,1,1,0,0,74.17
19.4,-55.6,0.05,52.01,0,9,0,0,60.105
32.0,35.77,0.16,38.44,4,8,0,0,60.525
22.78,-2.91,1.2,62.92,1,12,0,0,52.494
13.23,28.31,0.3,74.5,0,2,0,0,47.08
26.23,37.34,0.0,39.62,4,7,0,0,67.633
