date,reservoir_id,reservoir_name,storage_pct,inflow_mcm,outflow_mcm,rainfall_mm,temperature_c,evaporation_mm,catchment_rainfall_mm,capacity_mcm,dam_release_mcm,groundwater_recharge_mcm,season,month,location_lat,location_lng
2023-03-29,RES-A,Reservoir A,53.979,0.752,0.807,0.02,34.94,4.14,0.03,320.0,0.648,0.133,summer,3,19.076,72.8777
2023-03-30,RES-A,Reservoir A,54.491,1.25,1.057,0.01,35.51,4.48,0.01,320.0,0.917,0.041,summer,3,19.076,72.8777
2023-03-31,RES-A,Reservoir A,54.811,0.565,1.119,0.05,35.46,5.16,0.06,320.0,0.971,0.131,summer,3,19.076,72.8777
2023-04-01,RES-A,Reservoir A,55.081,1.351,1.273,1.06,36.8,5.46,1.19,320.0,1.058,0.102,summer,4,19.076,72.8777
2023-04-02,RES-A,Reservoir A,55.015,2.015,1.123,1.76,35.88,4.44,2.2,320.0,0.973,0.168,summer,4,19.076,72.8777
2023-04-03,RES-A,Reservoir A,54.076,1.121,1.618,0.08,35.49,4.66,0.09,320.0,1.488,0.069,summer,4,19.076,72.8777
2023-04-04,RES-A,Reservoir A,54.266,0.788,1.327,0.09,35.9,4.82,0.11,320.0,1.205,0.074,summer,4,19.076,72.8777
2023-04-05,RES-A,Reservoir A,54.133,0.753,1.257,0.11,33.98,5.11,0.13,320.0,1.135,0.109,summer,4,19.076,72.8777
2023-04-06,RES-A,Reservoir A,53.749,0.675,1.065,0.97,34.26,4.46,1.18,320.0,0.985,0.174,summer,4,19.076,72.8777
2023-04-07,RES-A,Reservoir A,53.978,0.674,1.236,0.49,34.41,4.49,0.59,320.0,1.123,0.14,summer,4,19.076,72.8777
2023-04-08,RES-A,Reservoir A,53.52,1.143,1.588,0.46,34.8,5.14,0.57,320.0,1.363,0.091,summer,4,19.076,72.8777
2023-04-09,RES-A,Reservoir A,53.108,0.754,1.545,0.0,36.48,4.77,0.01,320.0,1.405,0.086,summer,4,19.076,72.8777
2023-04-10,RES-A,Reservoir A,53.094,0.975,1.545,0.3,34.91,4.91,0.34,320.0,1.36,0.072,summer,4,19.076,72.8777
2023-04-11,RES-A,Reservoir A,52.71,1.33,1.26,0.34,35.55,4.32,0.4,320.0,1.234,0.067,summer,4,19.076,72.8777
2023-04-12,RES-A,Reservoir A,52.453,0.451,1.076,0.14,37.56,4.96,0.16,320.0,0.897,0.052,summer,4,19.076,72.8777
2023-04-13,RES-A,Reservoir A,52.652,0.729,1.262,0.02,35.57,4.27,0.03,320.0,1.12,0.068,summer,4,19.076,72.8777
2023-04-14,RES-A,Reservoir A,52.772,1.126,0.941,0.53,36.89,4.61,0.6,320.0,0.815,0.114,summer,4,19.076,72.8777
2023-04-15,RES-A,Reservoir A,53.16,0.806,0.888,0.51,34.88,4.94,0.59,320.0,0.729,0.048,summer,4,19.076,72.8777
2023-04-16,RES-A,Reservoir A,53.643,1.389,1.061,0.18,35.75,4.78,0.2,320.0,0.936,0.088,summer,4,19.076,72.8777
2023-04-17,RES-A,Reservoir A,53.826,1.552,0.97,0.89,34.86,4.59,0.98,320.0,0.927,0.17,summer,4,19.076,72.8777
2023-04-18,RES-A,Reservoir A,53.06,1.311,1.13,0.82,35.59,4.55,1.02,320.0,0.934,0.155,summer,4,19.076,72.8777
2023-04-19,RES-A,Reservoir A,52.895,1.752,0.99,0.66,37.01,4.87,0.75,320.0,0.828,0.095,summer,4,19.076,72.8777
2023-04-20,RES-A,Reservoir A,52.987,0.434,0.928,0.32,33.93,4.66,0.4,320.0,0.794,0.054,summer,4,19.076,72.8777
2023-04-21,RES-A,Reservoir A,52.873,2.005,0.637,2.42,36.52,5.18,3.01,320.0,0.536,0.215,summer,4,19.076,72.8777
2023-04-22,RES-A,Reservoir A,52.823,1.001,0.723,0.15,36.29,4.07,0.17,320.0,0.646,0.018,summer,4,19.076,72.8777
2023-04-23,RES-A,Reservoir A,52.951,0.641,0.586,0.32,35.29,4.48,0.39,320.0,0.425,0.129,summer,4,19.076,72.8777
2023-04-24,RES-A,Reservoir A,53.707,1.389,0.582,0.98,34.26,4.66,1.16,320.0,0.351,0.122,summer,4,19.076,72.8777
2023-04-25,RES-A,Reservoir A,53.451,0.767,0.933,0.71,36.09,4.8,0.86,320.0,0.773,0.171,summer,4,19.076,72.8777
2023-04-26,RES-A,Reservoir A,53.377,1.211,0.651,0.35,35.36,4.86,0.39,320.0,0.571,0.046,summer,4,19.076,72.8777
2023-04-27,RES-A,Reservoir A,53.471,1.397,1.006,0.46,36.28,4.93,0.52,320.0,0.845,0.131,summer,4,19.076,72.8777
2023-04-28,RES-A,Reservoir A,53.657,1.303,1.067,0.83,36.03,4.73,0.93,320.0,0.919,0.119,summer,4,19.076,72.8777
2023-04-29,RES-A,Reservoir A,53.4,0.305,0.899,0.31,37.92,4.89,0.37,320.0,0.705,0.086,summer,4,19.076,72.8777
2023-04-30,RES-A,Reservoir A,53.549,0.493,1.117,0.06,35.71,4.71,0.08,320.0,0.937,0.042,summer,4,19.076,72.8777
2023-05-01,RES-A,Reservoir A,53.336,1.06,0.802,0.13,33.7,4.89,0.15,320.0,0.801,0.104,summer,5,19.076,72.8777
2023-05-02,RES-A,Reservoir A,53.416,1.006,0.852,0.4,35.14,4.5,0.48,320.0,0.675,0.12,summer,5,19.076,72.8777
2023-05-03,RES-A,Reservoir A,53.23,0.05,1.12,0.03,35.19,4.7,0.03,320.0,1.02,0.135,summer,5,19.076,72.8777
2023-05-04,RES-A,Reservoir A,53.219,1.502,1.055,0.54,36.56,4.94,0.65,320.0,0.976,0.137,summer,5,19.076,72.8777
2023-05-05,RES-A,Reservoir A,53.399,0.869,1.16,0.04,35.93,5.28,0.05,320.0,1.02,0.064,summer,5,19.076,72.8777
2023-05-06,RES-A,Reservoir A,53.13,0.618,1.583,0.21,35.36,4.65,0.26,320.0,1.413,0.06,summer,5,19.076,72.8777
2023-05-07,RES-A,Reservoir A,53.517,1.403,0.977,0.52,36.68,5.19,0.6,320.0,0.909,0.065,summer,5,19.076,72.8777
2023-05-08,RES-A,Reservoir A,53.33,0.61,1.391,0.1,33.5,4.89,0.11,320.0,1.206,0.129,summer,5,19.076,72.8777
2023-05-09,RES-A,Reservoir A,53.305,0.739,1.188,0.36,34.16,4.58,0.43,320.0,0.999,0.075,summer,5,19.076,72.8777
2023-05-10,RES-A,Reservoir A,53.376,2.32,1.426,2.79,33.82,4.49,3.46,320.0,1.274,0.264,summer,5,19.076,72.8777
2023-05-11,RES-A,Reservoir A,53.196,1.44,1.268,0.03,34.46,4.54,0.04,320.0,1.161,0.097,summer,5,19.076,72.8777
2023-05-12,RES-A,Reservoir A,53.729,1.611,1.244,0.49,33.28,4.42,0.58,320.0,1.143,0.114,summer,5,19.076,72.8777
2023-05-13,RES-A,Reservoir A,53.962,1.19,1.107,0.54,35.69,5.04,0.61,320.0,0.905,0.098,summer,5,19.076,72.8777
2023-05-14,RES-A,Reservoir A,53.678,1.231,0.961,0.55,34.66,4.73,0.61,320.0,0.887,0.127,summer,5,19.076,72.8777
2023-05-15,RES-A,Reservoir A,53.898,1.808,1.294,1.49,33.16,4.55,1.66,320.0,1.091,0.154,summer,5,19.076,72.8777
2023-05-16,RES-A,Reservoir A,52.858,0.674,1.307,0.63,33.71,4.21,0.76,320.0,1.166,0.101,summer,5,19.076,72.8777
2023-05-17,RES-A,Reservoir A,52.905,1.853,1.065,1.66,35.3,4.45,2.04,320.0,0.92,0.184,summer,5,19.076,72.8777
2023-05-18,RES-A,Reservoir A,53.217,0.715,0.728,0.35,35.93,5.46,0.39,320.0,0.664,0.093,summer,5,19.076,72.8777
2023-05-19,RES-A,Reservoir A,53.199,1.091,0.947,0.36,37.32,4.93,0.42,320.0,0.804,0.074,summer,5,19.076,72.8777
2023-05-20,RES-A,Reservoir A,53.352,1.618,1.259,1.83,38.42,4.88,2.07,320.0,1.078,0.19,summer,5,19.076,72.8777
2023-05-21,RES-A,Reservoir A,52.412,1.206,0.782,0.47,35.43,5.18,0.52,320.0,0.699,0.102,summer,5,19.076,72.8777
2023-05-22,RES-A,Reservoir A,52.221,0.925,1.056,0.17,33.74,4.63,0.2,320.0,0.882,0.103,summer,5,19.076,72.8777
2023-05-23,RES-A,Reservoir A,52.139,0.092,0.695,0.74,32.37,4.56,0.89,320.0,0.54,0.103,summer,5,19.076,72.8777
2023-05-24,RES-A,Reservoir A,52.393,1.116,0.763,0.51,35.25,4.69,0.61,320.0,0.645,0.069,summer,5,19.076,72.8777
2023-05-25,RES-A,Reservoir A,52.853,1.348,0.948,0.66,33.95,4.48,0.76,320.0,0.755,0.165,summer,5,19.076,72.8777
2023-05-26,RES-A,Reservoir A,52.901,1.189,0.783,0.47,34.43,4.58,0.56,320.0,0.743,0.15,summer,5,19.076,72.8777
2023-05-27,RES-A,Reservoir A,52.984,1.226,0.767,0.94,34.19,4.19,1.05,320.0,0.599,0.154,summer,5,19.076,72.8777
2023-05-28,RES-A,Reservoir A,52.7,1.496,0.863,0.25,34.76,4.64,0.28,320.0,0.632,0.081,summer,5,19.076,72.8777
2023-05-29,RES-A,Reservoir A,52.543,0.958,1.169,0.1,36.21,4.93,0.12,320.0,0.947,0.076,summer,5,19.076,72.8777
2023-05-30,RES-A,Reservoir A,52.033,1.017,1.196,0.13,35.12,5.27,0.15,320.0,1.027,0.128,summer,5,19.076,72.8777
2023-05-31,RES-A,Reservoir A,51.443,1.487,1.262,0.64,34.74,4.69,0.8,320.0,1.127,0.102,summer,5,19.076,72.8777
2023-06-01,RES-A,Reservoir A,51.21,1.808,1.341,1.77,30.76,3.49,2.19,320.0,1.223,0.149,monsoon,6,19.076,72.8777
2023-06-02,RES-A,Reservoir A,53.122,5.352,1.157,9.82,29.99,4.07,11.75,320.0,1.022,0.627,monsoon,6,19.076,72.8777
2023-06-03,RES-A,Reservoir A,52.997,1.088,1.177,2.29,31.42,5.09,2.83,320.0,1.0,0.193,monsoon,6,19.076,72.8777
2023-06-04,RES-A,Reservoir A,53.315,2.117,1.398,3.01,31.94,4.59,3.5,320.0,1.288,0.284,monsoon,6,19.076,72.8777
2023-06-05,RES-A,Reservoir A,53.289,1.927,1.411,1.76,34.12,4.35,1.94,320.0,1.223,0.126,monsoon,6,19.076,72.8777
2023-06-06,RES-A,Reservoir A,52.655,1.237,1.247,1.15,32.16,4.54,1.27,320.0,0.99,0.153,monsoon,6,19.076,72.8777
2023-06-07,RES-A,Reservoir A,53.91,3.977,1.14,5.92,33.18,4.26,6.61,320.0,0.994,0.438,monsoon,6,19.076,72.8777
2023-06-08,RES-A,Reservoir A,53.144,1.299,1.305,0.91,31.4,3.86,1.02,320.0,1.222,0.127,monsoon,6,19.076,72.8777
2023-06-09,RES-A,Reservoir A,53.947,4.276,1.194,6.15,30.58,4.06,7.08,320.0,1.111,0.379,monsoon,6,19.076,72.8777
2023-06-10,RES-A,Reservoir A,54.692,3.659,1.301,5.97,30.84,4.23,7.19,320.0,1.113,0.343,monsoon,6,19.076,72.8777
2023-06-11,RES-A,Reservoir A,55.38,3.241,1.394,4.58,31.13,3.67,5.58,320.0,1.247,0.341,monsoon,6,19.076,72.8777
2023-06-12,RES-A,Reservoir A,55.527,2.614,1.355,3.31,34.55,4.3,3.93,320.0,1.161,0.222,monsoon,6,19.076,72.8777
2023-06-13,RES-A,Reservoir A,55.296,2.623,1.324,2.65,31.01,4.22,2.97,320.0,1.201,0.21,monsoon,6,19.076,72.8777
2023-06-14,RES-A,Reservoir A,55.035,0.944,0.854,1.49,33.01,4.34,1.81,320.0,0.662,0.118,monsoon,6,19.076,72.8777
2023-06-15,RES-A,Reservoir A,57.347,8.918,1.08,16.82,30.92,4.33,19.39,320.0,0.938,0.968,monsoon,6,19.076,72.8777
2023-06-16,RES-A,Reservoir A,57.781,3.235,1.066,4.38,33.12,4.11,4.83,320.0,0.952,0.334,monsoon,6,19.076,72.8777
2023-06-17,RES-A,Reservoir A,58.988,3.422,0.699,4.23,32.46,4.61,4.84,320.0,0.569,0.291,monsoon,6,19.076,72.8777
2023-06-18,RES-A,Reservoir A,58.891,1.805,0.745,1.87,31.81,3.96,2.15,320.0,0.655,0.139,monsoon,6,19.076,72.8777
2023-06-19,RES-A,Reservoir A,61.436,8.291,0.838,15.46,31.95,4.83,17.64,320.0,0.588,0.899,monsoon,6,19.076,72.8777
2023-06-20,RES-A,Reservoir A,62.016,2.479,0.832,2.84,31.21,3.73,3.47,320.0,0.687,0.211,monsoon,6,19.076,72.8777
2023-06-21,RES-A,Reservoir A,63.431,4.432,1.089,6.69,32.54,4.08,8.13,320.0,0.906,0.382,monsoon,6,19.076,72.8777
2023-06-22,RES-A,Reservoir A,64.521,4.592,1.078,7.89,31.45,4.4,9.51,320.0,0.955,0.422,monsoon,6,19.076,72.8777
2023-06-23,RES-A,Reservoir A,65.821,3.816,0.627,5.92,30.53,4.66,6.64,320.0,0.529,0.357,monsoon,6,19.076,72.8777
2023-06-24,RES-A,Reservoir A,65.988,1.652,0.88,0.88,30.47,4.25,1.08,320.0,0.741,0.08,monsoon,6,19.076,72.8777
2023-06-25,RES-A,Reservoir A,67.816,6.159,0.972,9.47,32.21,4.53,11.38,320.0,0.767,0.535,monsoon,6,19.076,72.8777
2023-06-26,RES-A,Reservoir A,67.781,2.437,0.896,2.81,33.89,4.57,3.17,320.0,0.772,0.243,monsoon,6,19.076,72.8777
2023-06-27,RES-A,Reservoir A,68.533,6.062,0.919,10.58,32.19,4.06,12.67,320.0,0.813,0.598,monsoon,6,19.076,72.8777
2023-06-28,RES-A,Reservoir A,69.394,3.247,1.002,4.99,31.86,4.18,5.86,320.0,0.844,0.34,monsoon,6,19.076,72.8777
2023-06-29,RES-A,Reservoir A,70.788,5.097,1.276,8.32,32.34,4.02,9.7,320.0,1.101,0.474,monsoon,6,19.076,72.8777
2023-06-30,RES-A,Reservoir A,73.129,7.934,1.298,14.66,33.57,4.14,16.37,320.0,1.065,0.815,monsoon,6,19.076,72.8777
2023-07-01,RES-A,Reservoir A,74.401,5.401,0.961,9.17,28.26,4.01,10.81,320.0,0.793,0.596,monsoon,7,19.076,72.8777
2023-07-02,RES-A,Reservoir A,76.003,4.584,1.303,8.49,27.51,3.46,9.47,320.0,1.121,0.494,monsoon,7,19.076,72.8777
2023-07-03,RES-A,Reservoir A,77.378,6.071,1.367,9.83,29.33,4.12,11.06,320.0,1.181,0.583,monsoon,7,19.076,72.8777
2023-07-04,RES-A,Reservoir A,77.603,1.474,1.225,2.19,28.51,3.53,2.46,320.0,1.133,0.143,monsoon,7,19.076,72.8777
2023-07-05,RES-A,Reservoir A,79.369,6.12,1.388,10.96,29.84,4.17,13.62,320.0,1.286,0.673,monsoon,7,19.076,72.8777
2023-07-06,RES-A,Reservoir A,80.478,2.824,1.262,4.05,28.22,3.74,4.63,320.0,1.166,0.268,monsoon,7,19.076,72.8777
